Samples	SBS1	SBS2	SBS4	SBS5	SBS6	SBS13
TCGA-44-2655-01A-01W-0928-08	5	0	159	31	0	0
TCGA-44-2656-01A-02D-0969-08	23	0	750	142	0	0
TCGA-44-2656-01A-02D-A271-08	18	0	694	121	0	0
TCGA-44-2656-01A-02W-0928-08	9	0	658	142	0	0
TCGA-44-2656-01A-12D-A27T-08	20	0	703	150	0	0
TCGA-44-2656-01A-41D-A27T-08	22	0	737	135	0	0
TCGA-44-2656-01B-06D-A271-08	10	0	626	121	0	0
TCGA-44-2657-01A-01D-1105-08	18	0	340	61	0	0
TCGA-44-2661-01A-01D-1105-08	0	0	0	31	12	0
TCGA-44-2662-01A-01D-0969-08	5	68	0	67	0	86
TCGA-44-2662-01A-01D-A271-08	3	52	45	46	0	71
TCGA-44-2662-01A-01W-0928-08	3	54	45	35	0	70
TCGA-44-2662-01B-02D-A271-08	4	60	0	58	0	68
TCGA-44-2665-01A-01D-1040-01	10	8	0	29	0	0
TCGA-44-2665-01A-01D-A271-08	11	8	0	29	0	0
TCGA-44-2665-01A-01W-0928-08	6	7	0	36	0	3
TCGA-44-2665-01B-06D-A271-08	8	9	0	35	0	0
TCGA-44-2666-01A-01D-1489-08	0	0	0	20	10	0
TCGA-44-2666-01A-01D-A271-08	1	0	0	18	8	0
TCGA-44-2666-01A-01W-0928-08	2	0	0	20	10	0
TCGA-44-2666-01A-21D-A27T-08	4	0	0	21	9	0
TCGA-44-2666-01A-41D-A27T-08	1	0	0	25	8	0
TCGA-44-2666-01B-02D-A271-08	3	0	0	16	6	0
TCGA-44-2668-01A-01D-0969-08	11	36	265	60	0	30
TCGA-44-2668-01A-01D-A271-08	9	34	249	46	0	25
TCGA-44-2668-01A-01W-0928-08	9	36	276	45	0	31
TCGA-44-2668-01B-02D-A271-08	5	17	162	34	0	18
TCGA-44-3396-01A-01D-1553-08	21	39	52	46	0	35
TCGA-44-3398-01A-01D-1105-08	0	27	117	0	26	20
TCGA-44-3917-01A-01D-A271-08	7	0	132	93	0	0
TCGA-44-3917-01B-02D-A271-08	10	0	131	98	0	0
TCGA-44-3918-01B-02D-A271-08	9	0	786	132	0	0
TCGA-44-3919-01A-02D-1105-08	1	0	0	32	0	0
TCGA-44-3919-01A-02D-1458-08	2	2	0	28	0	6
TCGA-44-4112-01A-01D-1105-08	14	0	336	80	0	0
TCGA-44-4112-01A-01D-1458-08	13	0	357	80	0	0
TCGA-44-4112-01A-22D-A27T-08	20	0	362	83	0	0
TCGA-44-4112-01A-31D-A27T-08	25	33	342	55	0	46
TCGA-44-4112-01B-06D-A271-08	11	0	277	61	0	0
TCGA-44-5643-01A-01D-1625-08	19	12	42	54	0	11
TCGA-44-5644-01A-21D-2036-08	40	0	741	215	0	0
TCGA-44-5645-01A-01D-1625-08	7	0	0	29	0	0
TCGA-44-5645-01A-01D-A271-08	6	0	0	30	0	0
TCGA-44-5645-01A-21D-A27T-08	8	0	0	32	0	0
TCGA-44-5645-01A-51D-A27T-08	9	0	0	29	0	0
TCGA-44-5645-01B-04D-A271-08	9	0	0	28	0	0
TCGA-44-6144-01A-11D-1753-08	12	0	136	88	0	0
TCGA-44-6145-01A-11D-1753-08	9	0	274	42	0	0
TCGA-44-6147-01A-11D-1753-08	7	0	123	57	0	0
TCGA-44-6147-01A-11D-A271-08	9	12	137	28	0	13
TCGA-44-6147-01A-21D-A27T-08	17	14	140	34	21	0
TCGA-44-6147-01A-31D-A27T-08	0	0	91	32	0	0
TCGA-44-6147-01B-06D-A271-08	8	0	101	42	0	0
TCGA-44-6774-01A-21D-1855-08	7	0	255	45	0	0
TCGA-44-6775-01A-11D-1855-08	0	4	25	18	13	0
TCGA-44-6775-01A-11D-A271-08	0	7	19	18	15	0
TCGA-44-6775-01A-21D-A27T-08	4	0	20	34	0	0
TCGA-44-6775-01A-31D-A27T-08	0	0	24	30	12	0
TCGA-44-6775-01C-02D-A271-08	3	0	0	52	0	0
TCGA-44-6776-01A-11D-1855-08	6	0	139	55	0	0
TCGA-44-6777-01A-11D-1855-08	0	39	253	0	44	34
TCGA-44-6778-01A-11D-1855-08	11	0	268	126	0	0
TCGA-44-6779-01A-11D-1855-08	24	0	44	33	0	0
TCGA-44-7659-01A-11D-2063-08	1	0	89	62	0	0
TCGA-44-7660-01A-11D-2063-08	9	0	169	155	0	28
TCGA-44-7661-01A-11D-2063-08	9	18	160	57	0	17
TCGA-44-7662-01A-11D-2063-08	9	30	386	134	0	25
TCGA-44-7667-01A-31D-2063-08	29	0	331	124	0	0
TCGA-44-7670-01A-11D-2063-08	27	63	880	93	0	73
TCGA-44-7671-01A-11D-2063-08	9	0	141	90	0	0
TCGA-44-7672-01A-11D-2063-08	4	0	111	47	0	0
TCGA-44-8117-01A-11D-2238-08	28	0	655	129	0	0
TCGA-44-8119-01A-11D-2238-08	6	0	461	141	58	0
TCGA-44-8120-01A-11D-2238-08	22	0	510	113	0	0
TCGA-44-A479-01A-31D-A24D-08	7	0	249	39	0	0
TCGA-44-A47A-01A-21D-A24D-08	15	14	60	78	0	49
TCGA-44-A47G-01A-21D-A24D-08	5	5	0	50	0	9
TCGA-44-A4SS-01A-11D-A24P-08	14	0	297	180	0	0
TCGA-44-A4SU-01A-11D-A24P-08	0	0	79	46	25	0
TCGA-49-4487-01A-21D-1855-08	4	19	227	69	0	33
TCGA-49-4488-01A-01D-1753-08	6	16	242	24	0	11
TCGA-49-4490-01A-21D-1855-08	0	3	0	24	9	4
TCGA-49-4494-01A-01D-1265-08	12	0	150	38	0	0
TCGA-49-4501-01A-01D-1265-08	5	8	0	21	12	0
TCGA-49-4505-01A-01D-1931-08	21	0	138	63	0	0
TCGA-49-4506-01A-01D-1265-08	5	0	67	44	0	0
TCGA-49-4510-01A-01D-1265-08	0	0	21	26	0	0
TCGA-49-4512-01A-21D-1855-08	7	0	0	29	0	0
TCGA-49-4514-01A-21D-1855-08	17	47	159	74	0	43
TCGA-49-6743-01A-11D-1855-08	23	104	345	222	0	81
TCGA-49-6744-01A-11D-1855-08	4	0	171	38	0	0
TCGA-49-6745-01A-11D-1855-08	8	37	0	35	20	29
TCGA-49-6761-01A-31D-1945-08	9	40	62	48	0	28
TCGA-49-AAQV-01A-11D-A397-08	4	13	0	28	0	16
TCGA-49-AAR0-01A-21D-A397-08	12	0	69	55	0	0
TCGA-49-AAR3-01A-11D-A410-08	1	8	60	50	0	4
TCGA-49-AAR4-01A-12D-A410-08	9	50	381	95	0	38
TCGA-49-AAR9-01A-21D-A410-08	25	0	556	104	0	0
TCGA-49-AARE-01A-11D-A410-08	24	0	990	266	0	0
TCGA-49-AARN-01A-21D-A410-08	0	124	336	332	0	0
TCGA-49-AARO-01A-12D-A410-08	3	0	582	41	0	0
TCGA-49-AARQ-01A-11D-A410-08	18	37	586	78	0	38
TCGA-49-AARR-01A-11D-A410-08	0	0	1	0	0	0
TCGA-4B-A93V-01A-11D-A397-08	6	0	87	50	0	0
TCGA-50-5044-01A-21D-1855-08	4	39	0	35	0	52
TCGA-50-5045-01A-01D-1625-08	6	0	261	19	0	0
TCGA-50-5051-01A-21D-1855-08	1	0	83	15	17	0
TCGA-50-5055-01A-01D-1625-08	0	0	0	6	4	0
TCGA-50-5066-01A-01D-1625-08	0	0	177	95	0	0
TCGA-50-5066-02A-11D-2107-08	8	0	222	156	0	0
TCGA-50-5068-01A-01D-1625-08	13	0	34	44	0	0
TCGA-50-5072-01A-21D-1855-08	10	12	95	49	0	0
TCGA-50-5930-01A-11D-1753-08	21	0	1037	109	0	0
TCGA-50-5931-01A-11D-1753-08	8	0	203	111	0	0
TCGA-50-5932-01A-11D-1753-08	3	0	61	14	0	0
TCGA-50-5935-01A-11D-1753-08	5	23	0	43	0	23
TCGA-50-5939-01A-11D-1625-08	3	12	0	40	12	6
TCGA-50-5941-01A-11D-1753-08	8	0	265	107	0	0
TCGA-50-5942-01A-21D-1753-08	2	0	29	25	0	0
TCGA-50-5946-01A-11D-1753-08	29	56	423	116	0	71
TCGA-50-5946-02A-11D-2107-08	30	66	439	125	0	80
TCGA-50-6590-01A-12D-1855-08	10	66	597	141	0	89
TCGA-50-6591-01A-11D-1753-08	7	0	0	43	0	0
TCGA-50-6592-01A-11D-1753-08	13	23	123	118	0	23
TCGA-50-6593-01A-11D-1753-08	8	0	218	97	0	0
TCGA-50-6594-01A-11D-1753-08	7	0	412	128	0	0
TCGA-50-6595-01A-12D-1855-08	2	16	0	56	0	6
TCGA-50-6597-01A-11D-1855-08	9	15	0	30	0	0
TCGA-50-6673-01A-11D-1945-08	1	0	0	32	18	0
TCGA-50-7109-01A-11D-2036-08	4	0	163	64	20	0
TCGA-50-8457-01A-11D-2323-08	5	0	23	27	0	0
TCGA-50-8460-01A-11D-2323-08	6	0	0	23	0	0
TCGA-53-7624-01A-11D-2063-08	26	65	501	179	0	72
TCGA-53-7626-01A-12D-2063-08	4	11	280	44	0	26
TCGA-53-7813-01A-11D-2167-08	1	0	102	34	19	0
TCGA-55-1592-01A-01D-0969-08	1	0	235	312	0	0
TCGA-55-1592-01A-01W-0928-08	4	0	225	293	0	0
TCGA-55-1594-01A-01D-1040-01	15	32	55	31	0	26
TCGA-55-1594-01A-01W-0928-08	0	35	60	0	24	32
TCGA-55-1595-01A-01D-0969-08	12	0	246	76	0	0
TCGA-55-1596-01A-01D-1040-01	6	0	86	106	0	0
TCGA-55-1596-01A-01W-0928-08	5	0	86	101	0	0
TCGA-55-5899-01A-11D-1625-08	14	53	291	74	0	42
TCGA-55-6543-01A-11D-1753-08	10	0	0	12	0	0
TCGA-55-6642-01A-11D-1855-08	5	0	95	28	0	0
TCGA-55-6712-01A-11D-1855-08	9	31	0	54	0	43
TCGA-55-6968-01A-11D-1945-08	14	154	122	57	0	180
TCGA-55-6969-01A-11D-1945-08	3	0	269	139	0	0
TCGA-55-6971-01A-11D-1945-08	0	0	38	46	0	0
TCGA-55-6972-01A-11D-1945-08	10	80	97	58	0	31
TCGA-55-6975-01A-11D-1945-08	9	0	25	37	0	0
TCGA-55-6978-01A-11D-1945-08	0	0	0	18	9	0
TCGA-55-6979-01A-11D-1945-08	1	6	61	21	0	25
TCGA-55-6980-01A-11D-1945-08	2	0	0	9	0	0
TCGA-55-6981-01A-11D-1945-08	5	0	0	32	12	0
TCGA-55-6982-01A-11D-1945-08	12	76	0	45	0	88
TCGA-55-6984-01A-11D-1945-08	1	0	0	19	0	0
TCGA-55-6985-01A-11D-1945-08	11	0	354	93	0	0
TCGA-55-6986-01A-11D-1945-08	0	0	0	12	6	0
TCGA-55-6987-01A-11D-1945-08	6	18	80	40	0	39
TCGA-55-7281-01A-11D-2036-08	6	0	320	136	0	0
TCGA-55-7283-01A-11D-2036-08	0	23	121	0	57	25
TCGA-55-7284-01B-11D-2238-08	12	0	0	31	0	0
TCGA-55-7570-01A-11D-2036-08	3	24	171	138	0	57
TCGA-55-7573-01A-11D-2036-08	0	0	21	30	0	0
TCGA-55-7574-01A-11D-2036-08	3	41	71	54	0	64
TCGA-55-7576-01A-11D-2063-08	20	0	248	128	0	0
TCGA-55-7724-01A-11D-2167-08	16	13	55	117	0	10
TCGA-55-7725-01A-11D-2167-08	7	0	93	41	0	0
TCGA-55-7726-01A-11D-2167-08	16	23	0	27	0	49
TCGA-55-7727-01A-11D-2167-08	11	48	113	60	0	33
TCGA-55-7903-01A-11D-2167-08	6	9	80	28	24	9
TCGA-55-7907-01A-11D-2167-08	28	85	898	116	0	104
TCGA-55-7910-01A-11D-2167-08	23	0	248	52	0	0
TCGA-55-7911-01A-11D-2167-08	10	0	150	83	0	0
TCGA-55-7913-01B-11D-2238-08	0	0	241	82	31	0
TCGA-55-7914-01A-11D-2167-08	18	0	97	67	0	0
TCGA-55-7994-01A-11D-2184-08	43	0	1232	361	0	0
TCGA-55-7995-01A-11D-2184-08	9	48	441	166	0	38
TCGA-55-8085-01A-11D-2238-08	0	63	122	0	43	56
TCGA-55-8087-01A-11D-2238-08	3	0	0	15	9	0
TCGA-55-8089-01A-11D-2238-08	25	173	772	165	0	170
TCGA-55-8090-01A-11D-2238-08	4	0	46	42	0	0
TCGA-55-8091-01A-11D-2238-08	13	0	0	8	0	0
TCGA-55-8092-01A-11D-2238-08	39	77	334	116	0	36
TCGA-55-8094-01A-11D-2238-08	13	0	357	107	0	0
TCGA-55-8096-01A-11D-2238-08	15	0	94	41	0	0
TCGA-55-8097-01A-11D-2238-08	23	0	46	44	0	0
TCGA-55-8203-01A-11D-2238-08	26	0	369	57	0	0
TCGA-55-8204-01A-11D-2238-08	11	32	64	88	0	37
TCGA-55-8206-01A-11D-2238-08	7	3	0	16	0	0
TCGA-55-8208-01A-11D-2238-08	7	61	72	120	0	78
TCGA-55-8299-01A-11D-2284-08	0	0	119	71	0	0
TCGA-55-8301-01A-11D-2284-08	6	0	173	115	0	0
TCGA-55-8506-01A-11D-2393-08	176	0	1097	169	318	0
TCGA-55-8507-01A-11D-2393-08	30	0	819	185	0	0
TCGA-55-8510-01A-11D-2393-08	7	0	240	77	0	0
TCGA-55-8511-01A-11D-2393-08	20	39	386	117	0	22
TCGA-55-8512-01A-11D-2393-08	1	0	17	22	0	0
TCGA-55-8514-01A-11D-2393-08	25	0	216	55	0	0
TCGA-55-8614-01A-11D-2393-08	32	0	68	147	0	0
TCGA-55-8615-01A-11D-2393-08	5	0	62	60	0	0
TCGA-55-8616-01A-11D-2393-08	27	0	441	55	0	0
TCGA-55-8620-01A-11D-2393-08	28	0	346	148	0	0
TCGA-55-8621-01A-11D-2393-08	3	0	36	14	0	0
TCGA-55-A48X-01A-11D-A24D-08	4	0	309	75	0	0
TCGA-55-A48Y-01A-11D-A24D-08	26	144	0	46	0	152
TCGA-55-A48Z-01A-12D-A24P-08	0	0	20	19	18	0
TCGA-55-A490-01A-11D-A24D-08	28	0	1136	207	0	0
TCGA-55-A491-01A-11D-A24D-08	11	0	275	109	0	0
TCGA-55-A492-01A-11D-A24D-08	10	0	191	89	0	0
TCGA-55-A493-01A-11D-A24D-08	0	43	163	0	34	26
TCGA-55-A494-01A-11D-A24P-08	33	0	167	48	0	0
TCGA-55-A4DF-01A-11D-A24D-08	34	237	156	146	0	266
TCGA-55-A4DG-01A-11D-A24D-08	21	0	583	119	0	0
TCGA-55-A57B-01A-12D-A397-08	3	4	0	17	13	0
TCGA-62-8394-01A-11D-2323-08	15	15	0	76	0	31
TCGA-62-8395-01A-11D-2323-08	17	4	0	42	0	10
TCGA-62-8397-01A-11D-2323-08	2	2	10	5	6	0
TCGA-62-8398-01A-11D-2323-08	0	9	56	0	19	0
TCGA-62-8399-01A-21D-2323-08	35	79	242	89	0	104
TCGA-62-8402-01A-11D-2323-08	13	0	0	44	0	0
TCGA-62-A46O-01A-11D-A24D-08	31	71	600	163	0	70
TCGA-62-A46P-01A-11D-A24D-08	5	0	236	13	30	0
TCGA-62-A46R-01A-11D-A24D-08	18	17	82	48	0	7
TCGA-62-A46S-01A-11D-A24D-08	14	8	67	37	0	0
TCGA-62-A46U-01A-11D-A24D-08	1	6	0	16	16	5
TCGA-62-A46V-01A-11D-A24D-08	13	6	0	38	0	0
TCGA-62-A46Y-01A-11D-A24D-08	12	0	0	20	0	0
TCGA-62-A471-01A-12D-A24D-08	9	29	0	60	0	25
TCGA-62-A472-01A-11D-A24D-08	7	0	0	50	0	0
TCGA-64-1676-01A-01D-0969-08	17	0	497	114	0	0
TCGA-64-1676-01A-01W-0928-08	16	0	481	108	0	0
TCGA-64-1677-01A-01W-0928-08	0	36	86	0	39	51
TCGA-64-1678-01A-01W-0928-08	10	22	370	35	0	0
TCGA-64-1679-01A-21D-2063-08	12	0	419	96	0	0
TCGA-64-1680-01A-02D-0969-08	13	6	0	23	0	10
TCGA-64-1680-01A-02W-0928-08	10	7	0	23	0	6
TCGA-64-1681-01A-11D-2063-08	6	8	0	38	0	13
TCGA-64-5774-01A-01D-1625-08	9	0	107	28	0	0
TCGA-64-5775-01A-01D-1625-08	21	0	400	85	0	0
TCGA-64-5778-01A-01D-1625-08	14	0	355	117	0	0
TCGA-64-5781-01A-01D-1625-08	32	79	813	180	0	48
TCGA-64-5815-01A-01D-1625-08	17	0	123	41	0	0
TCGA-67-3770-01A-01D-0969-08	11	0	148	74	0	0
TCGA-67-3770-01A-01W-0928-08	13	0	145	68	0	0
TCGA-67-3771-01A-01D-1040-01	31	135	500	310	0	164
TCGA-67-3771-01A-01W-0928-08	31	137	491	359	0	163
TCGA-67-3773-01A-01D-1040-01	1	0	65	22	14	0
TCGA-67-3774-01A-01D-1040-01	4	0	57	57	0	0
TCGA-67-3774-01A-01W-0928-08	2	0	49	52	0	0
TCGA-67-4679-01B-01D-1753-08	13	0	214	65	0	0
TCGA-67-6215-01A-11D-1753-08	0	0	0	109	0	0
TCGA-67-6216-01A-11D-1753-08	2	4	0	17	0	3
TCGA-67-6217-01A-11D-1753-08	7	0	139	46	0	0
TCGA-69-7760-01A-11D-2167-08	3	5	21	24	18	0
TCGA-69-7764-01A-11D-2167-08	0	0	29	38	24	0
TCGA-69-7765-01A-11D-2167-08	4	31	489	116	0	0
TCGA-69-7973-01A-11D-2184-08	3	0	227	7	28	0
TCGA-69-7974-01A-11D-2184-08	23	0	366	139	0	0
TCGA-69-7978-01A-11D-2184-08	24	63	338	101	0	90
TCGA-69-8253-01A-11D-2284-08	10	13	98	37	0	9
TCGA-69-8254-01A-11D-2284-08	13	0	21	41	0	0
TCGA-69-8255-01A-11D-2284-08	16	21	137	110	0	16
TCGA-69-A59K-01A-11D-A25L-08	10	27	415	0	39	17
TCGA-71-6725-01A-11D-1855-08	11	0	0	28	18	0
TCGA-71-8520-01A-11D-2393-08	0	8	30	0	42	10
TCGA-73-4658-01A-01D-1753-08	9	77	156	48	0	42
TCGA-73-4659-01A-01D-1265-08	12	0	151	59	0	0
TCGA-73-4662-01A-01D-1265-08	7	0	142	64	0	0
TCGA-73-4670-01A-01D-1265-08	11	0	224	131	0	0
TCGA-73-4675-01A-01D-1265-08	9	0	0	60	0	0
TCGA-73-4676-01A-01D-1753-08	10	0	31	57	0	0
TCGA-73-4677-01A-01D-1265-08	1	0	190	50	24	0
TCGA-73-7498-01A-12D-2184-08	3	0	68	30	16	0
TCGA-75-5122-01A-01D-1753-08	0	7	55	35	23	14
TCGA-75-5125-01A-01D-1753-08	9	15	64	57	0	19
TCGA-75-5126-01A-01D-1753-08	17	62	376	90	0	77
TCGA-75-5146-01A-01D-1625-08	2	0	143	48	0	0
TCGA-75-5147-01A-01D-1625-08	6	3	0	19	0	8
TCGA-75-6203-01A-11D-1753-08	6	0	0	7	0	0
TCGA-75-6205-01A-11D-1753-08	1	0	0	42	0	0
TCGA-75-6206-01A-11D-1753-08	0	0	46	46	0	0
TCGA-75-6207-01A-11D-1753-08	6	4	0	39	0	9
TCGA-75-6211-01A-11D-1753-08	12	0	277	103	0	0
TCGA-75-6214-01A-41D-1945-08	19	72	413	153	0	78
TCGA-75-7025-01A-12D-1945-08	8	9	0	0	13	0
TCGA-75-7027-01A-11D-1945-08	14	0	166	70	0	0
TCGA-75-7030-01A-11D-1945-08	3	0	0	5	0	0
TCGA-78-7145-01A-11D-2036-08	11	0	140	46	0	0
TCGA-78-7146-01A-11D-2036-08	27	44	209	64	0	38
TCGA-78-7147-01A-11D-2036-08	17	29	181	118	0	18
TCGA-78-7148-01A-11D-2036-08	3	0	131	86	0	0
TCGA-78-7149-01A-11D-2036-08	0	38	49	0	24	35
TCGA-78-7150-01A-21D-2036-08	21	63	148	138	0	65
TCGA-78-7152-01A-11D-2036-08	5	30	69	60	0	42
TCGA-78-7153-01A-11D-2036-08	9	11	0	71	0	13
TCGA-78-7154-01A-11D-2036-08	28	48	0	137	0	53
TCGA-78-7155-01A-11D-2036-08	31	0	1171	378	0	0
TCGA-78-7160-01A-11D-2036-08	3	0	0	38	0	0
TCGA-78-7161-01A-11D-2036-08	0	0	131	41	26	0
TCGA-78-7162-01A-21D-2063-08	3	7	33	37	0	7
TCGA-78-7163-01A-12D-2063-08	5	0	0	14	0	0
TCGA-78-7166-01A-12D-2063-08	5	0	205	30	0	0
TCGA-78-7167-01A-11D-2063-08	12	15	37	25	0	11
TCGA-78-7220-01A-11D-2036-08	14	61	575	195	0	44
TCGA-78-7535-01A-11D-2063-08	3	0	103	78	0	0
TCGA-78-7536-01A-11D-2063-08	19	0	471	163	0	0
TCGA-78-7539-01A-11D-2063-08	26	95	124	114	0	156
TCGA-78-7540-01A-11D-2063-08	6	0	0	14	10	0
TCGA-78-7542-01A-21D-2063-08	20	23	309	33	0	0
TCGA-78-7633-01A-11D-2063-08	3	0	67	39	0	0
TCGA-78-8640-01A-11D-2393-08	33	51	421	192	0	60
TCGA-78-8648-01A-11D-2393-08	0	0	4	3	0	0
TCGA-78-8655-01A-11D-2393-08	9	0	49	47	0	0
TCGA-78-8662-01A-11D-2393-08	27	0	868	331	0	0
TCGA-80-5607-01A-31D-1945-08	5	49	0	24	0	53
TCGA-80-5608-01A-31D-1945-08	17	0	125	38	0	0
TCGA-80-5611-01A-01D-1625-08	6	0	76	116	0	0
TCGA-83-5908-01A-21D-2284-08	12	29	111	42	0	51
TCGA-86-6562-01A-11D-1753-08	12	5	0	26	0	10
TCGA-86-6851-01A-11D-1945-08	4	24	645	170	0	75
TCGA-86-7701-01A-11D-2167-08	9	0	141	54	0	0
TCGA-86-7711-01A-11D-2063-08	0	29	136	0	36	28
